Date,Operator,Location,Fatalities,Aboard
1931-09-14,Chicago-Detroit Airways,"Chicago, Illinois",1,1
1931-09-16,PacifiAir Transport,"Oakland, California",4,4
1931-10-06,Deutsche Lufthansa,"Novia Scotia, Canada",3,3
1931-10-14,Syndicato Condor,Brazil,3,3
1931-11-05,"NY, Phil., Washington AW","Camden, New Jersey",5,5
1931-11-13,Union Airways,"Sir Lowry's pass, South Africa",3,3
1931-11-23,Boeing Air Transport,"Salt Lake City, Utah",1,1
1931-11-24,China National Aviation Corporation,"Near Tsinan, China",3,3
1931-11-26,Varney Air Lines,"Pasco, Washington",1,1
1931-12-05,Braniff Airways,"Kewanee, Illinois",2,6
1931-12-06,KLM Royal Dutch Airlines,"Bangkok, Thailand",5,7
1931-12-09,Aeropostale,Off Algiers,2,2
1931-12-31,American Airways,"Springfield, Ohio",4,5
1932-01-21,Northwest Airways,"Colvin Park, Ilinois",1,1
1932-01-29,Century PacifiLines,"Lebec, California",8,8
1932-02-01,Bimini Airways,"Off Miami, Florida",5,5
1932-02-02,Transamerican Airlines,"Marcellus, Michigan",1,1
1932-02-02,Boeing Air Transport,"Rio Vista, California",1,2
1932-02-27,Aeropostale,"Off Setiba, Brazil",3,3
1932-03-08,Century Air Lines,"Saint Louis, Illinois",2,5
1932-03-19,American Airways,"Calimesa, California",7,7
1932-03-21,Trans Continental and Western Air,"Steubenville, Ohio",1,1
1932-03-29,Air Orient,Syria,3,3
1932-03-31,National Air Transport,"Bedford, Ohio",1,1
1932-04-21,Transamerica Airlines,"Fort Wayne, Indiana",1,1
1932-05-03,Varney Air Lines,"Portland, Oregon",2,2
1932-05-16,PacifiAir Transport,"Burbank, California",3,3
1932-07-16,Panagra,"Mount El Plomo, near Vitacura, Chile",9,9
1932-08-12,Air Orient,"Beyrouth, Lebanon",1,7
1932-08-30,A B Aerotransport,"Tubergen, Germany",2,2
1932-09-08,American Airways,"Salt Flats, Texas",3,4
1932-09-17,Air Union,"Selsdon Park, England",1,2
1932-09-18,New England Airways,"Byron Bay, Australia",3,3
1932-10-12,Aeropostale,"Port Etienne, Mauritania",1,1
1932-10-26,Lloyd Aero Boliviano,"Villa Monte, Bolivia",2,2
1932-10-29,Deutsche Lufthansa,"Ramsgate, England",2,2
1932-11-02,Deutsche Lufthansa,"Echterpfuhl, Germany",5,5
1932-11-25,Hunter Airways,"Marianna, Arkansas",2,2
1932-12-14,Trans Continental and Western Air,"Amarillo, Texas",2,2
1932-12-14,Boeing Air Transport,"Rocky Ridge, Colorado",1,1
1932-12-26,Guinea Airways,"Wau, Australia",2,2
1933-01-10,Aeropostale,Algiers,1,1
1933-01-14,Eastern Air Transport,"Newark, New Jersey",2,2
1933-01-20,American Airways,"Marietta, Georgia",1,1
1933-01-20,American Airways,"Bourne, Texas",1,1
1933-01-24,PacifiAir Transport,"Eugene, Oregon",1,3
1933-03-11,Pan American Grace Airways,"Near Mendoza, Argentina",2,2
1933-03-25,Varney Airlines,"Hayward, California",3,3
1933-03-28,Imperial Airways,"Near Dixmude, Belgium",15,15
1933-04-03,Deutsche Lufthansa,"Hemkenrode, Germany",1,2
1933-04-04,Military - U.S. Navy,"Off Barnegat, New Jersey",73,76
1933-04-23,Air Orient,"Mt. Terrione, Italy",6,6
1933-04-29,Eurasia,"Traunstein, Germany",4,4
1933-05-09,Aeropostale - La Tecoere Company,"Viladrau, Spain",6,6
1933-06-02,Eastern Air Transport,"Bowling Green, Virginia",1,1
1933-08-29,Trans Continental and Western Air,"Quay, New Mexico",5,5
1933-09-12,Aeroput,"Ljubljana, Yugoslavia",8,8
1933-10-10,United Air Lines,"Chesterton, Indiana",10,10
1933-10-31,Air France,"Etobon, France",2,2
1933-11-09,United Air Lines,"Portland, Oregon",4,9
1933-11-10,Trans Continental and Western Air,"Moriarty, New Mexico",1,1
1933-11-20,China National Aviation Corporation,"Near Tsinan, China",8,8
1933-11-21,Kalinin,"Near Kharkov, Ukraine, USSR",14,20
1933-11-24,National Air Transport,"Wedron, Illinois",2,2
1933-12-11,Deutsche Lufthansa,"Hamburg, Germany",7,8
1933-12-14,Union Airways,"Eshowe, South Africa",4,6
1933-12-30,Imperial Airways,"Near Ruysselede, Belgium",10,10
1934-01-15,Air France,"Corbigny, France",14,14
1934-01-20,Air France,"Carombe, France",2,2
1934-02-23,Boeing Aircraft Company,"Near Salt Lake City, Utah",8,8
1934-02-26,Air France,"Rio de Oro, Morocco",1,6
1934-03-06,American Airways,"Petersburg, Illinois",4,4
1934-03-10,Pan American Airways (Scadta),"Pereira, Colombia",5,6
1934-03-22,Pan American Grace Airlines,"Near Lima, Peru",3,15
1934-04-10,China National Aviation Corporation,"Ningpo Bay, China",3,3
1934-05-09,Air France,English Channel,6,6
1934-05-31,Air France,"Croydon, England",2,2
1934-06-09,American Airways,"Mongaup Mountain, New York",7,7
1934-06-11,Panagra,"Junin, Argentina",5,10
1934-06-22,Deutsche Lufthansa,"Chausseehausen, Germany",1,7
1934-06-23,Aerevias Centrales Air Service,"Burbank, California",1,1
1934-07-09,United Air Services,"San Bernardino, California",3,4
1934-07-27,Swissair,"Near Tuttlingen, Germany",12,12
1934-08-05,Air France,"Bahia, Brazil",2,2
1934-08-10,China National Aviation Corporation,"Ningbo, China",0,0
1934-08-31,Rapid Air Transport,"Amazonia, Missouri",5,5
1934-10-03,Qantas,"Near Winton, Australia",3,3
1934-10-19,Holyman Airways,"Bass Strait, Australia",11,11
1934-11-02,Holdens Air Transport Service,"Kiapit, Australia",2,4
1934-11-15,Qantas,"Near Longreach, Australia",4,4
1934-11-15,Qantas,"Near Longreach, NSW, Australia",4,4
1934-11-15,Rapid Air Transport,"Amazonia, Montana",2,2
1934-12-07,Deutsche Lufthansa,"Salchau, Germany",3,3
1934-12-08,Braniff Airlines,"Columbia, Missouri",1,1
1934-12-10,Cubana de Aviacion,"Palma Soriano, Cuba",4,8
1934-12-20,KLM Royal Dutch Airlines,"Rutbah Wells, Syria",7,7
1934-12-22,American Airlines,"Sunbright, Tennessee",1,1
1935-01-26,Trans Continental and Western Air,"Pittsburgh, Pennsylvania",1,1
1935-01-31,Deruluft,"Stettin, Germany",11,11
1935-03-07,Deruluft,"Schievelbein, Germany",3,0
1935-03-15,Misrair,"El Arish, Egypt",3,6
1935-03-29,Deutsche Lufthansa,"Off Samland, Germany",5,5
1935-04-01,Air France,"Beauvais, France",1,3
1935-04-06,KLM Royal Dutch Airlines,"Brilon, Germany",7,7
1935-05-01,Varney Air Lines,"Near Walsenberg, Colorado",1,1
1935-05-06,Trans Continental and Western Air,"Atlanta, Missouri",5,14
1935-05-18,Knowles Flying Service of Detroit,"Flint, Michigan",3,12
1935-05-18,Gor'ky Eskadril'ya,"Near Moscow, Russia",50,50
1935-05-27,Wyoming Air Service,"Glendo, Wyoming",1,1
1935-05-28,Chicago and Southern Airlines,"Maywood, Illinois",2,2
1935-05-29,,"San Barbra, Honduras",6,9
1935-06-24,Servicio Aereo Columbiano / SCADTA,"Medellin, Colombia",17,20
1935-07-14,KLM Royal Dutch Airlines,"Amsterdam, Netherlands",6,20
1935-07-19,Wedell-Williams Air Service Corporation,"Off Chandeleur Island, Mississippi",2,2
1935-07-20,KLM Royal Dutch Airlines,"Pian Giacomo, Switzerland",13,13
1935-08-13,China National Aviation Corporation,"Hangow, China",0,0
1935-08-14,Delta Air Lines,"Near Gilmer, Texas",4,4
1935-08-15,Aero Mayflower Transit Co,"Near Glendo, Wyoming",3,3
1935-08-15,Private,"Walakpa, near Point Barrow, Alaska",2,2
1935-09-01,Western Air Express,"Burbank, California",3,3
1935-10-02,Holyman Airways,"Off Finders Island, Victoria, Australia",5,5
1935-10-07,United Air Lines,"Near Cheyenne, Wyoming",12,12
1935-10-09,Aero O-Y,Gulf of Finland,6,6
1935-10-21,Chamberlin Flying Service,"Troy, New York",1,6
1935-10-30,United Air Lines,"Cheyenne, Wyoming",4,4
1935-11-02,Air France,"Off Nhambupe, Brazil",4,4
1935-11-09,TACA,"Near Juticalpa, Honduras",14,14
1935-11-09,Braniff Airlines,"Near Fort Worth, Texas",1,1
1935-11-11,Air France,"Istres, France",3,3
1935-12-04,Air Bleu,"Tours, France",1,2
1935-12-10,Sabena,"Croydon, England",11,11
1935-12-24,Deutsche Lufthansa,"Breslau, Germany",3,3
1935-12-31,Imperial Airways,"Off Alexandria, Egypt",12,13
1936-01-14,American Airlines,"Goodwin, Arkansas",17,17
1936-01-17,Lloyd Aereo Boliviano,"Near Cordillera, Boliva",13,13
1936-01-21,Air France,"Off Ajaccio, Corsica, France",6,6
1936-01-29,American Airlines,"Denton, Texas",1,6
1936-02-15,Deutsche Lufthansa,South AtlantiOcean,4,4
1936-03-05,China National Aviation Corporation,"Near Tengya, China",0,6
1936-03-26,Compania de Mexico,"Amemeca, Mexico",14,14
1936-04-01,American Airlines,"Pavillon, New York",2,2
1936-04-07,Trans Continental and Western Air,"Uniontown, Pennsylvania",13,15
1936-04-11,Pan American Airways,"Port of Spain, Trinidad",3,25
1936-04-15,Avio Linee Italiane,"Near Turin, Italy",7,7
1936-04-17,Deutsche Lufthansa,Switzerland,3,5
1936-04-21,Sabena,"Senlis, France",2,2
1936-04-30,Swissair,"Basel, Switzerland",2,2
1936-05-16,Holyman Airways,"Mount Waverley, Australia",2,2
1936-06-09,A B Aerotransport,"Malmo, Sweden",1,15
1936-06-13,Deutsche Lufthansa,"Hannover, Germany",1,6
1936-06-16,Den Norske Luftfartskole,"Mt. Lihesten, Norway",7,7
1936-07-31,Guernsey Airways,"Off Channel Islands, Jersey",7,7
1936-08-02,Air France,"Mazamet, France",3,3
1936-08-03,Mexicana,Mexico,1,1
1936-08-05,Chicago Southern Airlines,"St. Louis, Missouri",8,8
1936-08-06,SCADTA,"Choco, Colombia",2,2
1936-08-12,British Airways,"Altenkirchen, Germany",2,2
1936-08-22,Imperial Airways,"Mirabella, Greece",2,11
1936-09-25,Imperial Airways,English Channel,2,2
1936-09-28,Varney Air Lines,"Walsenberg, Colorado",3,3
1936-09-29,Blue Bird Air Service,"Napierville, Illinois",4,4
1936-10-06,Mexicana,Mexico,1,1
1936-10-09,North Sea Aerial and General Transport,,1,1
1936-11-01,Deutsche Lufthansa,"Near Tabarz, Germany",11,15
1936-11-06,Deruluft,Near Moscow,9,9
1936-11-17,Deutsche Lufthansa,"Nurnberg, Germany",4,16
1936-11-19,British Airways,"London, England",2,4
1936-12-04,Deutsche Lufthansa,"Near Grenoble, France",6,6
1936-12-07,Air France,"Off Dakar, French West Africa",5,5
1936-12-09,KLM Royal Dutch Airlines,"Croydon, England",15,17
1936-12-15,Western Air Express,"Near Salt Lake City, Utah",7,7
1936-12-18,Northwest Orient Airlines,"Kellogg, Idaho",2,2
1936-12-19,Eastern Air Lines,"Near Milford, Pennsylvania",14,14
1936-12-23,Braniff Airways,"Near Dallas, Texas",6,6
1936-12-26,China National Aviation Corporation,"Nanking, China",0,0
1936-12-27,United Air Lines,"Newhall, California",12,12
1937-01-12,Western Air Express,"Near Newhall, California",5,13
1937-01-26,Sabena,"Oran, Algeria",12,12
1937-02-09,United Air Lines,"Off San Francisco, California",11,11
1937-02-19,Airlines of Australia,"McPherson Ranges, Queensland, Australia",5,7
1937-03-12,Deutsche Lufthansa,"Bathurst, Gambia",4,4
1937-03-24,Imperial Airways,"Near Ouroux, France",5,6
1937-03-25,Trans Continental and Western Air,"Clifton, Pennsylvania",13,13
1937-03-26,Deutsche Lufthansa,"Wetnum, Germany",2,6
1937-05-06,Deutsche Zeppelin Reederei,"Lakehurst, New Jersey",35,97
